sp_id,loc_id,time_bucket,repetitive_demand_quantity
8606896,3,202211,12
8606896,3,202212,10
8606896,3,202301,13
8606896,3,202302,10
8606896,3,202303,12
8606896,3,202304,13
8606896,3,202305,9
8606896,3,202306,15
8606896,3,202307,13
8606896,3,202308,8
8606896,3,202309,12
8606896,3,202310,17
8606896,3,202311,8
8606896,3,202312,17
8606896,3,202401,15
8606896,3,202402,11
8606896,3,202403,17
8606896,3,202404,14
8606896,3,202405,8
8606896,3,202406,14
8606896,3,202407,19
8606896,3,202408,26
8606896,3,202409,29
8606896,3,202410,18
8606896,3,202411,24
8606896,3,202412,18
8606896,3,202501,35
8606896,3,202502,27
8606896,3,202503,11
9036438,3,202104,822
9036438,3,202105,900
9036438,3,202106,900
9036438,3,202107,1523
9036438,3,202108,1100
9036438,3,202109,600
9036438,3,202110,1548
9036438,3,202111,750
9036438,3,202112,967
9036438,3,202201,300
9036438,3,202202,921
9036438,3,202203,1284
9036438,3,202204,849
9036438,3,202205,1177
9036438,3,202206,975
9036438,3,202207,1409
9036438,3,202208,1275
9036438,3,202209,1864
9036438,3,202210,852
9036438,3,202211,1133
9036438,3,202212,1350
9036438,3,202301,1155
9036438,3,202302,818
9036438,3,202303,1412
9036438,3,202304,1225
9036438,3,202305,1050
9036438,3,202306,1283
9036438,3,202307,1669
9036438,3,202308,987
9036438,3,202309,2594
9036438,3,202310,1528
9036438,3,202311,1379
9036438,3,202312,750
9036438,3,202401,881
9036438,3,202402,750
9036438,3,202403,703
9036438,3,202404,600
9036438,3,202405,965
9036438,3,202406,825
9036438,3,202407,625
9036438,3,202408,825
9036438,3,202409,979
9036438,3,202410,1360
9036438,3,202411,900
9036438,3,202412,1051
9036438,3,202501,755
9036438,3,202502,600
9036438,3,202503,405
9750079,3,202104,23
9750079,3,202105,91
9750079,3,202106,216
9750079,3,202107,110
9750079,3,202108,126
9750079,3,202109,134
9750079,3,202110,95
9750079,3,202111,92
9750079,3,202112,104
9750079,3,202201,82
9750079,3,202202,132
9750079,3,202203,275
9750079,3,202204,85
9750079,3,202205,65
9750079,3,202206,17
9750079,3,202207,208
9750079,3,202208,164
9750079,3,202209,419
9750079,3,202210,344
9750079,3,202211,503
9750079,3,202212,211
9750079,3,202301,286
9750079,3,202302,261
